id	severity	module	file	line	summary	impact	recommendation	status
KSMBD-F001	HIGH	src/protocol	src/protocol/smb2/smb2_session.c	569	Binary GUID compared with strncmp instead of memcmp	Session binding checks can produce false positives when GUID contains NUL bytes, weakening client-binding validation	Use memcmp(conn->ClientGUID, sess->ClientGUID, SMB2_CLIENT_GUID_SIZE) and keep constant-time semantics where practical	OPEN
KSMBD-F002	HIGH	src/fs	src/fs/ksmbd_fsctl.c	210	FSCTL_VALIDATE_NEGOTIATE_INFO compares binary GUID with strncmp	Validation may incorrectly accept mismatched client GUIDs when embedded NULs truncate comparison	Replace strncmp with memcmp for exact 16-byte comparison	OPEN
KSMBD-F003	HIGH	src/mgmt	src/mgmt/share_config.c	179,181,232,244,102	Pipe-share path skips share->name allocation failure check	Low-memory kstrdup failure can insert share with NULL name and later crash in strcmp during lookup	Check share->name immediately after kstrdup regardless of share type and fail fast	OPEN
KSMBD-F004	HIGH	src/mgmt	src/mgmt/user_session.c	290,326,340-346	Direct assignment of krealloc result can lose prior pointer on OOM	If expansion fails after entries exist, to_destroy becomes NULL while nr_destroy remains >0, leading to NULL dereference and leaked sessions	Use temporary pointer (tmp = krealloc(...)); only assign on success; handle OOM path explicitly	OPEN
KSMBD-F005	HIGH	test harness	run_tests.sh	406-411	Failure exit code is masked by ! command inversion	Failing suites can be reported as success and return 0, invalidating CI signal	Capture exit code without ! (or store status immediately from command invocation) and propagate non-zero	OPEN
KSMBD-F006	MEDIUM	test harness	run_tests.sh	346,349,352,355	Native suites execute help/list commands instead of tests	Integration/security/performance suites do not validate behavior; regressions can pass undetected	Execute real test entrypoints (remove --help/--list placeholders) and assert pass/fail outputs	OPEN
KSMBD-F007	MEDIUM	build scripts	build_ksmbd.sh	6,11-16,24-76	Script declares /bin/sh but uses bashisms and broken command substitutions	Portability and correctness issues can break build/install automation across systems	Move shebang to line 1, use bash explicitly or POSIX syntax consistently, and remove command substitutions with redirected output	OPEN
KSMBD-F008	MEDIUM	build scripts	build_arm64.sh	215,225	Quoted make flag assembly is unsafe (SC2089/SC2090)	Debug flags may be passed with literal quotes or split unexpectedly, causing unreliable builds	Use bash arrays for make arguments and avoid concatenated shell strings	OPEN
KSMBD-F009	MEDIUM	src/fs	src/fs/ksmbd_reparse.c	379-391	FSCTL_SET_REPARSE_POINT validates input but returns success without applying changes	Clients may receive success while server state is unchanged, causing protocol/behavior divergence	Return STATUS_NOT_SUPPORTED until implemented, or implement atomic replacement semantics	OPEN
KSMBD-F010	MEDIUM	src/fs	src/fs/ksmbd_fsctl.c	141-167	FSCTL_CREATE_OR_GET_OBJECT_ID returns fixed all-zero object IDs	Object-ID semantics are non-compliant and can cause identity collisions across files	Generate stable per-file object IDs per SMB semantics or explicitly reject unsupported operation	OPEN
KSMBD-F011	LOW	ksmbd-tools/mountd	ksmbd-tools/mountd/ipc.c	32-35	ipc_msg_alloc lacks overflow-safe size addition	Potential integer-overflow hardening gap in message-size calculation	Use checked addition before allocation/bounds comparison (e.g., helper with overflow check)	OPEN
KSMBD-F012	LOW	build/deploy	Makefile	173-184	DKMS paths use unsanitized PKGVER in sudo rm/cp/sed operations	Operator-supplied PKGVER containing path metacharacters can target unintended locations	Sanitize PKGVER to a strict charset (e.g., [A-Za-z0-9._-]) before filesystem operations	OPEN
